Mouse,Date,k,TDA Score
CB321,113022,8,0.4018518518518518
CB321,113022,9,0.4018518518518518
CB321,113022,10,0.38333333333333325
CB289,040422,1,0.6705882352941177
CB289,040422,2,0.6235294117647058
CB289,040422,3,0.6352941176470587
CB289,040422,4,0.626470588235294
CB289,040422,5,0.6147058823529411
CB289,040422,6,0.626470588235294
CB289,040422,7,0.6029411764705882
CB289,040422,8,0.6029411764705882
CB289,040422,9,0.5970588235294116
CB289,040422,10,0.5852941176470587
CB305,062422,1,0.45185185185185184
CB305,062422,2,0.5259259259259259
CB305,062422,3,0.5444444444444444
CB305,062422,4,0.5407407407407409
CB305,062422,5,0.5611111111111111
CB305,062422,6,0.5444444444444445
CB305,062422,7,0.5537037037037036
CB305,062422,8,0.5574074074074075
CB305,062422,9,0.5740740740740741
CB305,062422,10,0.5814814814814815
CB303,061722,1,0.3462962962962962
CB303,061722,2,0.4333333333333333
CB303,061722,3,0.41296296296296287
CB303,061722,4,0.4185185185185184
CB303,061722,5,0.41666666666666663
CB303,061722,6,0.437037037037037
CB303,061722,7,0.4277777777777777
CB303,061722,8,0.43148148148148147
CB303,061722,9,0.4333333333333333
CB303,061722,10,0.42407407407407405
CB303,062022,1,0.4518518518518517
CB303,062022,2,0.474074074074074
CB303,062022,3,0.49074074074074076
